Description;Date;AcademicYear;Status;Category;StudentCode;Sex;;Age;Continent;CivilStatus;Scholarship;ScholarshipCategory;ScholarshipAmount;Scholarship;HowYouKnew;Chosen
Registration Started;2015;2015;Diploma;Summer MBA;168;1;;26;Africa;0;0;3; 11.400,00 ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Diploma;Summer MBA;169;0;;26;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;170;1;;19;Africa;0;0;3; 5.400,00 ;Type1;Scholarship;Yes
Registration Started;2014;2015;Bachelor;BBA;171;0;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;172;1;;19;Europe;0;0;3; -   ;N/A;Scholarship;Yes
Registration Started;2014;2015;Bachelor;BBA;173;1;;19;Europe;0;0;3; 11.400,00 ;N/A;Scholarship;Yes
Registration Started;2015;2015;Master;MBA;174;0;;26;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;175;1;;19;Africa;0;0;3; 30.400,00 ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;176;1;;19;Africa;0;0;3; -   ;Type1;Other;Yes
Registration Started;2014;2015;Bachelor;BBA;177;1;;19;Latin America;0;0;3; -   ;N/A;Third part website;Yes
Registration Started;2014;2015;Bachelor;BBA;178;1;;19;Africa;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;179;0;;19;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;180;1;;19;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;181;1;;19;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Master;MBInf;182;1;;26;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2015;Bachelor;BBA;183;0;;19;Europe;0;0;3; 11.400,00 ;Type1;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;184;1;;19;North America;0;0;3; -   ;Type1;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;185;1;;19;North America;0;0;3; -   ;Type1;N/A;Yes
Registration Started;2015;2015;Bachelor;BBA;186;1;;19;Latin America;0;0;3; -   ;N/A;Other;Yes
First criteria not met;2014;2014;Master;MBA;187;1;;26;Europe;0;0;0; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;188;1;;19;Latin America;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Diploma;Summer MSCS;189;0;;31;Africa;0;0;3; -   ;Type1;Academic staff;No
Registration Started;2015;2015;Master;MBInf;190;1;;31;Europe;0;0;3; 2.400,00 ;N/A;Brochure;No
Registration Started;2015;2015;Bachelor;BBA;191;0;;19;Africa;0;0;3; 2.650,00 ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;192;1;;19;Asia;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;193;0;;19;Latin America;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Master;ME;194;1;;26;Europe;0;0;3; -   ;type3;Student Alumnus;Yes
Registration Started;2015;2015;Erasmus;Erasmus MBA;195;0;;26;Europe;0;0;3; -   ;N/A;Brochure;Yes
Registration Started;2015;2015;Bachelor;BBA;196;0;;19;Africa;0;0;3; -   ;Type1;Third part website;Yes
Registration Started;2015;2015;Master;MBE;197;1;;26;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;198;0;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2014;Bachelor;BBA;199;1;;19;Europe;0;0;3; -   ;Type1;Third part website;Yes
Registration Started;2015;2015;Master;MBA;200;1;;26;Latin America;0;0;3; 3.400,00 ;N/A;Employer;Yes
Registration Started;2015;2015;Bachelor;BBA;201;1;;19;Africa;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;202;0;;19;Africa;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Erasmus;Erasmus MBA;203;0;;26;Europe;0;0;3; -   ;Type1;Website;Yes
First criteria not met;2015;2015;Bachelor;BBA;204;1;;19;Europe;0;1;1; -   ;N/A;Other;No
Registration Started;2015;2014;Master;MBA;205;0;;26;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;206;0;;19;Europe;0;0;3; -   ;Type1;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;207;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;208;1;;19;Africa;0;0;3; 6.400,00 ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;209;0;;19;Europe;0;0;3; -   ;N/A;Brochure;Yes
Registration Started;2015;2015;Bachelor;BBA;210;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;211;0;;26;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;212;1;;26;Oceania;0;0;0; -   ;N/A;Google;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;213;1;;26;North America;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;214;0;;19;Europe;0;0;3; -   ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;215;0;;19;Europe;0;0;3; -   ;Type1;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;216;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;217;1;;19;Europe;0;0;3; -   ;N/A;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;218;1;;19;Latin America;0;0;3; -   ;N/A;Other;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;219;0;;26;Europe;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;220;0;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2014;Master;MBA;221;0;;26;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;222;0;;18;Africa;0;0;3; 9.400,00 ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;223;0;;19;Europe;0;0;3; 2.290,00 ;N/A;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;224;0;;19;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;225;0;;19;Europe;0;0;3; -   ;N/A;Other;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;226;1;;26;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;227;1;;26;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;228;1;;19;Europe;0;0;3; -   ;N/A;Scholarship;Yes
Registration Started;2014;2015;Bachelor;BBA;229;1;;18;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;230;0;;19;Europe;0;0;3; -   ;N/A;Other;Yes
Registration Started;2014;2015;Bachelor;BBA;231;1;;18;Africa;0;0;3; 71.400,00 ;Type1;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;232;0;;18;Europe;0;0;3; 2.400,00 ;N/A;Website;Yes
Registration Started;2014;2014;Master;MBA;233;1;;26;Europe;0;0;1; 3.200,00 ;N/A;Online study portal;Yes
First criteria not met;2014;2014;Master;MBA;234;1;;26;Europe;0;0;0; -   ;N/A;Online study portal;No
First criteria not met;2015;2015;Bachelor;BBA;235;0;;31;Europe;0;0;3; -   ;N/A;Radio;No
Registration Started;2014;2014;Master;MFA;236;0;;26;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;237;1;;19;Europe;0;0;3; -   ;Type1;Website;Yes
First criteria not met;2015;2015;Master;MFA;238;1;;26;Africa;0;1;3; 8.900,00 ;N/A;Third part website;No
Registration Started;2015;2015;Bachelor;BBA;239;0;;19;Europe;0;0;3; -   ;Type1;Student Alumnus;Yes
Acception notified;2015;2015;Master;MFA;240;0;;26;Europe;0;0;3; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;241;1;;19;Asia;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;242;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;243;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;244;0;;18;Europe;0;0;3; -   ;Type1;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;245;1;;19;Europe;0;0;3; -   ;Type1;Third part website;Yes
Registration Started;2014;2014;Bachelor;BBA;246;1;;19;Asia;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Bachelor;BBA;247;0;;19;Europe;0;0;3; -   ;N/A;Other;Yes
Acception notified;2015;2015;Bachelor;BBA;248;1;;19;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2014;Bachelor;BBA;249;1;;19;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2014;Bachelor;BBA;250;0;;19;Europe;0;0;0; -   ;N/A;Scholarship;Yes
Registration Started;2015;2014;Bachelor;BBA;251;1;;19;Europe;0;0;0; -   ;N/A;Social media;Yes
Registration Started;2015;2014;Bachelor;BBA;252;0;;19;Europe;0;0;0; -   ;N/A;Online study portal;Yes
First criteria not met;2015;2015;Master;MSCS;253;0;;31;Africa;1;0;3; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;254;1;;18;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2014;Bachelor;BBA;255;0;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;256;0;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;257;1;;26;Europe;0;0;3; -   ;N/A;Other;No
Registration Started;2015;2015;Bachelor;BBA;258;0;;18;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;259;0;;19;Latin America;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Diploma;Summer MSCS;260;1;;31;Europe;1;0;3; -   ;N/A;N/A;No
Registration Started;2014;2014;Bachelor;BBA;261;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;262;1;;19;Europe;0;0;0; -   ;N/A;Online study portal;Yes
Registration Started;2014;2014;Bachelor;BBA;263;1;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;264;0;;19;Asia;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;265;0;;19;Africa;0;0;0; -   ;N/A;Online study portal;Yes
First criteria not met;2014;2014;Diploma;Summer MSCS;266;1;;31;Asia;1;0;0; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;267;0;;18;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;268;1;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;269;1;;19;Africa;0;0;0; -   ;N/A;Social media;Yes
Registration Started;2014;2014;Bachelor;BBA;270;1;;19;Latin America;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;271;0;;19;Europe;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;272;0;;19;Europe;0;0;0; -   ;N/A;Other;Yes
Acception notified;2014;2014;Master;MBA;273;0;;26;Europe;0;0;3; 2.070,00 ;N/A;Website;No
Acception notified;2014;2014;Master;MBE;274;0;;31;Europe;1;0;0; -   ;N/A;Website;No
First criteria not met;2015;2015;Master;MBE;275;0;;26;Africa;1;0;3; -   ;N/A;Website;No
Registration Started;2014;2014;Bachelor;BBA;276;1;;19;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;277;0;;19;North America;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;278;1;;19;Africa;0;0;0; -   ;N/A;Online study portal;Yes
First criteria not met;2015;2015;Master;MBE;279;1;;26;Europe;0;0;3; -   ;N/A;Website;No
Registration Started;2014;2014;Bachelor;BBA;280;0;;19;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2015;Bachelor;BBA;281;0;;18;Latin America;0;0;3; 2.650,00 ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;282;1;;19;Africa;0;0;0; -   ;N/A;Family Academic staff;Yes
Registration Started;2014;2014;Bachelor;BBA;283;0;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;284;1;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;285;0;;19;Africa;0;0;0; -   ;N/A;Website;Yes
First criteria not met;2015;2015;Diploma;Summer MSCS;286;0;;26;Europe;0;0;3; 5.400,00 ;N/A;Website;No
First criteria not met;2015;2015;Master;MFA;287;1;;26;Latin America;0;0;3; -   ;N/A;Student Alumnus;No
Registration Started;2014;2014;Bachelor;BBA;289;0;;19;Africa;0;0;0; -   ;N/A;Third part website;Yes
Registration Started;2014;2014;Bachelor;BBA;290;0;;19;Europe;0;0;0; -   ;N/A;Third part website;Yes
Registration Started;2014;2015;Bachelor;BBA;291;0;;18;Africa;0;0;3; 41.400,00 ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;292;0;;19;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;293;1;;19;Asia;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;294;0;;19;Asia;0;0;0; -   ;N/A;Scholarship;Yes
Registered second time;2015;2015;Diploma;Summer MSCS;295;0;;26;Africa;0;0;3; -   ;Type1;Website;No
Acception notified;2015;2015;Bachelor;BBA;296;1;;26;Asia;0;0;3; 10.400,00 ;Type1;Website;No
Registration Started;2014;2014;Bachelor;BBA;297;1;;19;North America;0;0;0; -   ;N/A;Website;Yes
Acception notified;2015;2015;Master;MBA;298;0;;26;Europe;0;0;3; -   ;Type1;Student Alumnus;No
Acception notified;2015;2015;Erasmus;Erasmus MBA;299;1;;26;Europe;0;0;3; 16.400,00 ;N/A;Website;No
Registration Started;2014;2014;Bachelor;BBA;300;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;301;1;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;302;0;;19;North America;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;303;1;;19;Asia;0;0;0; -   ;N/A;Student Alumnus;Yes
First criteria not met;2014;2015;Diploma;Summer MSCS;304;1;;26;Europe;0;0;3; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;305;1;;18;Africa;0;0;3; 21.400,00 ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;306;1;;19;Africa;0;0;0; -   ;N/A;Other;Yes
First criteria not met;2014;2015;Diploma;Summer MSCS;307;1;;26;Africa;1;0;3; -   ;N/A;Website;No
Registration Started;2014;2014;Bachelor;BBA;308;1;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;309;1;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;310;1;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2015;2015;Bachelor;BBA;311;0;;18;Europe;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;312;1;;18;Asia;0;0;3; -   ;Type1;Student Alumnus;Yes
Registration Started;2014;2015;Bachelor;BBA;313;0;;18;Asia;0;0;3; 2.650,00 ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;314;0;;19;Africa;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;315;0;;19;Europe;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;316;0;;19;Europe;0;0;0; -   ;N/A;Employer;Yes
Registration Started;2014;2014;Bachelor;BBA;317;1;;19;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;318;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;319;0;;19;Europe;0;0;0; -   ;N/A;Online study portal;Yes
Registration Started;2015;2014;Bachelor;BBA;320;1;;18;Asia;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;321;1;;19;Europe;0;0;0; -   ;N/A;Other;Yes
First criteria not met;2015;2015;Diploma;Summer MSCS;322;0;;26;Europe;0;0;1; 3.200,00 ;N/A;N/A;No
Registration Started;2014;2014;Bachelor;BBA;323;1;;19;Europe;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;324;1;;19;Europe;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Diploma;Summer MSCS;325;0;;26;Europe;0;0;3; -   ;N/A;Student Alumnus;No
Acception notified;2014;2014;Diploma;Summer MSCS;326;0;;26;Africa;1;0;0; -   ;N/A;Website;No
Acception notified;2014;2014;Bachelor;BBA;327;0;;19;Europe;0;0;0; -   ;N/A;Online study portal;No
Registration Started;2014;2014;Bachelor;BBA;328;1;;19;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;329;1;;19;Africa;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;330;0;;19;Europe;0;0;0; -   ;N/A;Family Academic staff;Yes
Registration Started;2014;2014;Bachelor;BBA;331;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
First criteria not met;2015;2015;Bachelor;BBA;332;0;;18;Europe;0;0;3; -   ;N/A;Website;No
Registration Started;2014;2014;Bachelor;BBA;333;0;;19;Europe;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;334;1;;19;Asia;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;335;1;;19;Africa;0;0;0; -   ;N/A;Student Alumnus;Yes
Registration Started;2014;2014;Bachelor;BBA;336;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;337;0;;19;Europe;0;0;0; -   ;N/A;Scholarship;Yes
Registration Started;2014;2014;Bachelor;BBA;338;1;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;339;0;;18;Europe;0;0;3; -   ;N/A;Website;Yes
First criteria not met;2015;2014;Diploma;Summer MSCS;340;0;;31;Africa;0;0;0; -   ;N/A;Student Alumnus;No
Registration Started;2015;2015;Bachelor;BBA;341;0;;18;Africa;0;0;3; 28.400,00 ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;342;0;;18;Europe;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;343;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;344;1;;19;Asia;0;0;0; -   ;N/A;Other;Yes
Registration Started;2014;2014;Bachelor;BBA;345;1;;19;Europe;0;0;0; -   ;N/A;Family Academic staff;Yes
Registration Started;2014;2014;Bachelor;BBA;346;0;;19;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2014;Bachelor;BBA;347;1;;19;Africa;0;0;0; -   ;N/A;Student Alumnus;Yes
First criteria not met;2014;2014;Diploma;Summer MSCS;348;1;;26;Europe;0;0;0; -   ;N/A;Website;No
Acception notified;2014;2015;Bachelor;BBA;349;1;;19;Africa;0;0;3; -   ;Type1;Other;No
Registration Started;2014;2015;Bachelor;BBA;350;0;;18;Asia;0;0;3; 41.400,00 ;Type1;Website;Yes
Acception notified;2015;2015;Bachelor;BBA;351;1;;19;Europe;0;0;3; -   ;Type1;Other;No
First criteria not met;2015;2015;Bachelor;BBA;352;0;;19;Europe;0;0;3; -   ;N/A;Other;No
Registration Started;2015;2015;Bachelor;BBA;353;0;;19;Europe;0;0;3; 21.400,00 ;Type1;Website;No
Registration Started;2015;2015;Bachelor;BBA;354;1;;18;Latin America;0;0;3; -   ;N/A;Other;Yes
First criteria not met;2014;2014;Diploma;Summer MSCS;355;0;;26;Europe;0;0;0; -   ;N/A;Website;No
First criteria not met;2014;2014;Diploma;Summer MBA;356;0;;26;Africa;1;0;0; -   ;N/A;Website;No
Acception notified;2015;2015;Bachelor;BBA;357;0;;19;Europe;0;0;3; -   ;N/A;Other;No
First criteria not met;2015;2014;Bachelor;BBA;358;1;;19;Europe;0;0;3; -   ;N/A;Website;No
First criteria not met;2015;2015;Bachelor;BBA;359;1;;19;Europe;0;0;3; -   ;N/A;Student Alumnus;No
First criteria not met;2015;2015;Bachelor;BBA;360;1;;19;Europe;0;0;3; -   ;N/A;Website;No
Acception notified;2014;2015;Bachelor;BBA;361;1;;19;Africa;0;0;3; 2.650,00 ;N/A;Family Academic staff;No
Registration Started;2015;2015;Bachelor;BBA;362;0;;18;Africa;0;0;3; -   ;Type1;Student Alumnus;Yes
First criteria not met;2014;2015;Bachelor;BBA;363;0;;19;Europe;0;0;3; 26.400,00 ;N/A;Student Alumnus;No
First criteria not met;2015;2015;Bachelor;BBA;364;1;;19;Europe;0;0;3; -   ;N/A;Website;No
Registration Started;2015;2015;Bachelor;BBA;365;1;;18;Africa;0;0;3; 4.400,00 ;N/A;Third part website;Yes
First criteria not met;2014;2014;Master;MBInf;366;1;;26;Africa;0;0;0; -   ;N/A;Website;No
Acception notified;2014;2014;Diploma;Summer MBA;367;1;;31;Europe;0;0;0; -   ;N/A;Other;No
First criteria not met;2014;2015;Bachelor;BBA;368;0;;19;Africa;0;0;3; -   ;Type1;Website;No
First criteria not met;2015;2015;Bachelor;BBA;369;0;;19;Europe;0;0;3; -   ;N/A;Website;No
Acception notified;2015;2015;Bachelor;BBA;370;0;;19;Europe;0;0;3; -   ;N/A;Other;No
Acception notified;2015;2015;Bachelor;BBA;371;1;;19;Europe;0;0;3; -   ;N/A;Website;No
First criteria not met;2015;2015;Bachelor;BBA;372;1;;19;Europe;0;0;3; 16.400,00 ;Type1;Website;No
Acception notified;2015;2015;Bachelor;BBA;373;1;;19;Europe;0;0;3; -   ;N/A;Third part website;No
First criteria not met;2015;2015;Bachelor;BBA;374;0;;19;Europe;0;0;3; -   ;N/A;Scholarship;No
First criteria not met;2014;2014;Bachelor;BBA;375;1;;26;Europe;0;0;0; -   ;N/A;Website;No
Acception notified;2014;2014;Master;BIS;376;1;;26;Africa;0;0;0; -   ;N/A;Website;No
Acception notified;2015;2015;Bachelor;BBA;377;1;;19;Africa;0;0;3; -   ;Type1;Website;No
First criteria not met;2015;2015;Bachelor;BBA;378;0;;19;Europe;0;0;3; -   ;N/A;N/A;No
First criteria not met;2015;2015;Bachelor;BBA;379;1;;19;Asia;0;0;3; -   ;N/A;Other;No
Registration Started;2015;2015;Bachelor;BBA;380;1;;18;Asia;0;0;3; -   ;Type1;Website;Yes
Acception notified;2014;2014;Bachelor;BBA;381;1;;26;Europe;0;0;0; -   ;N/A;Third part website;No
Acception notified;2015;2015;Bachelor;BBA;382;0;;19;Europe;0;0;3; -   ;N/A;Student Alumnus;No
Acception notified;2014;2014;Master;MFA;383;1;;26;Europe;0;0;0; -   ;N/A;Website;No
